"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","h-4","pointer-events-none src","truncate","inline-block","truncate 2"
"https://shopee.co.id/EIGER-X-FULL-PRINT-EIGER-T-SHIRT-i.19260065.8939210945?extraParams=%7B%22display_model_id%22%3A54724300379%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/f42255dae053a5796e24e224562be09a","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER X-FULL PRINT EIGER T-SHIRT","184.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-ASCEND-AVENGERS-SLEEVELESS-T-SHIRT-i.19260065.29590450696?extraParams=%7B%22display_model_id%22%3A108734205356%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mdtzglh8w13gd0","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ASCEND AVENGERS SLEEVELESS T-SHIRT","164.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","5.0","80 terjual"
"https://shopee.co.id/EIGER-ETNISCH-LS-T-SHIRT-i.19260065.10035790413?extraParams=%7B%22display_model_id%22%3A390691509017%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mmb8j2ugi1hd8a","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ETNISCH LS T-SHIRT","184.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-SKETCH-GEOMETRIC-T-SHIRT-i.19260065.8115638442?extraParams=%7B%22display_model_id%22%3A73708000603%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/43d9fb990576671a81835e8ecff1227a","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER SKETCH GEOMETRIC T-SHIRT","118.300","-30%","","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-X-SAOBI-POLOSHIRT-SS-i.19260065.40219603578?extraParams=%7B%22display_model_id%22%3A296605007385%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81zti-mes2jv3gk4jp04","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER X- SAOBI POLOSHIRT SS","274.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","5.0","166 terjual"
"https://shopee.co.id/EIGER-MS-EQUATOR-WINDPROOF-JACKET-F1-i.19260065.25119743838?extraParams=%7B%22display_model_id%22%3A207382355570%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r991-lt1viu94r6c9a6","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER MS EQUATOR WINDPROOF JACKET F1","684.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-HILLWANDER-HOODIE-SWEATER-i.19260065.43106841986?extraParams=%7B%22display_model_id%22%3A301052275940%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbnotzbzet7o56","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER HILLWANDER HOODIE SWEATER","344.300","-31%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","327 terjual"
"https://shopee.co.id/EIGER-Z-OSTRYA-LONG-SHIRT-i.19260065.22041427479?extraParams=%7B%22display_model_id%22%3A158194483073%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7qul7-lgdcl15stbzx7e","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER Z-OSTRYA LONG SHIRT","239.300","-31%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-LINE-LOGO-LS-T-SHIRT-i.19260065.56760417908?extraParams=%7B%22display_model_id%22%3A287613705679%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mo6m39oto0zp9c","https://down-id.img.susercontent.com/file/id-11134258-8224z-mkvwcf6270g1ad","EIGER LINE LOGO LS T-SHIRT","244.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Produk Baru","4.9 Penilaian Toko",""
"https://shopee.co.id/EIGER-PUNAN-MT-POLO-SHIRT-i.19260065.10872788362?extraParams=%7B%22display_model_id%22%3A37833454124%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/ae8fd70a6e8cbdbfb7f27e2bed3261d8","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER PUNAN MT POLO SHIRT","244.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
